NAME,DATE OF MIGRATION,X1,D.O.B.,X2,X3,X4,X5,X6,X7,X8,FROM LOCATION,X9,X10,X11,X12,X13,TO,X14,X15,X16,X17,Y
K.Krishna,15-09-2005,65,18-08-1955,0,5.9,72,0,0,0,0,Vishakapatnam,1,3,27,1,5,Thiruvannamalai,0,1,2,0,2
M.Balu,26/10/0214,38,19-02-1982,0,5.9,58,1,0,1,0,Adilabad,0,14,17,0,5,Pudukkottai,0,4,2,1,2
P.Mounisha,29-10-1998,47,12-11-1973,1,4.7,49,0,0,0,0,Hyderabad,2,15,16,1,5,Sivagangai,1,40,2,0,0
P.Sandeep ,14-03-2003,48,08-11-1972,0,4.6,50,1,1,1,1,Khammam,0,15,14,1,5,Madurai,0,36,2,1,0
J.Sathya,03-03-2005,50,12-09-1970,0,5.8,69,0,1,1,1,Mehboobnagar,0,31,13,0,2,Namakkal,1,37,1,0,0
T.narayana,28-10-1997,49,13-07-1971,0,5.4,58,1,0,1,0,Medak,0,41,10,0,2,Nagapattnam,1,38,1,1,2
V.Shruthi,19-09-2001,20,15-09-2000,1,5.2,57,0,1,1,1,Suryapeta,0,33,0,0,2,Thanjavur,0,37,1,0,2
B.Vishal,26/10/0214,21,05-11-1999,0,5.1,72,0,0,1,0,Vikarabad,0,21,-10,0,1,Thirunelveli,0,23,1,1,2
S.Sangeetha,29-10-1998,52,08-08-1968,1,4.8,76,0,1,0,1,Araria,2,23,-1,1,2,Velankanni,1,22,1,0,0
Y.laksmi,12-12-2008,56,14/031964,1,5.3,79,0,0,0,0,Banka,2,23,-2,1,1,Vellore,0,21,0,0,0
R.Reshma,24-01-2007,45,19-12-1975,1,5.8,78,0,1,1,1,Arwal,2,21,-3,1,1,Thoothukudi,0,21,0,0,1
M.Sushma,31-12-2001,30,04-07-1990,1,5,48,0,1,0,1,Buxar,2,22,15,1,1,Thiruvannamalai,0,33,0,0,0
H.Jothi,15-09-2005,37,11-12-1983,1,5.4,47,1,1,1,1,Bhojpur,2,34,18,0,1,Pudukkottai,0,33,0,1,0
D.Nithya,19-09-2009,58,15-06-1962,1,6,67,0,1,0,1,Gaya,3,43,22,1,2,Sivagangai,1,32,0,1,0
R.Nidhi,06-11-2010,29,12-11-1991,1,4.8,69,1,0,1,0,Kaimur,3,12,29,0,2,Chennai,0,21,1,1,0
P.Sheela,12-11-2019,64,30-11-1956,1,5.9,65,0,0,0,0,Mumba,3,11,27,1,1,Tirupur,0,34,2,0,0
M.Rani,20-12-2009,25,08-11-1995,1,5.8,64,1,0,1,0,Thane,3,0,28,1,1,Coimbatore,0,44,3,0,2
C.Adhithya,10-08-2017,23,23-11-1997,0,4.7,68,0,1,0,1,Nagpur,3,13,38,1,1,Salem,0,45,4,0,2
K.Durga,25-05-2016,33,09-11-1987,1,4.8,62,0,0,1,0,Araria,3,17,32,1,1,Eroad,0,32,1,0,2
A.Varun,19-02-2000,34,23-06-1986,0,5.2,49,1,1,0,1,Banka,0,18,30,0,1,Thiruvarur,0,33,2,0,2
G.Preethi,20-09-2001,39,23-08-1981,1,5.3,87,0,0,0,0,Mumba,0,13,14,1,1,Vellore,0,32,2,0,2
J.Ravali,07-12-2015,40,12-11-1980,1,4.9,66,0,1,1,1,Thane,3,11,13,1,2,Thoothukudi,0,23,2,1,2
D.Harsha,11-09-1998,50,19-03-1970,1,5.2,74,0,0,0,0,Nagpur,0,10,32,1,2,Thiruvannamalai,0,41,2,0,2
S.Lavanya,14-03-2003,39,14-09-1981,1,5.6,55,0,1,1,1,Nashik,2,19,29,0,2,Pudukkottai,0,22,2,1,2
H.sreenitha,03-03-2005,58,12-09-1962,1,5.8,77,0,1,0,1,Raigad,2,23,28,1,2,Sivagangai,1,22,2,0,2
J.Keerthi,28-10-1997,26,26-12-1994,1,6,58,0,0,1,0,Pune,2,22,25,1,2,Thoothukudi,0,21,0,0,2
L.Jasthi,19-09-2001,64,24-09-1956,1,5.8,50,0,0,1,0,Solapur,2,28,11,1,2,Thiruvannamalai,0,35,0,0,1
T.Aruna,26/10/0214,59,12-11-1961,1,5,40,0,0,0,0,Satara,2,31,33,1,5,Thiruvannamalai,0,6,0,0,1
R.Priyanka,29-10-1998,46,16/19/1974,1,5.4,71,0,0,0,0,Guntur,0,12,22,0,1,Pudukkottai,0,1,2,1,1
A.Sindhu,12-12-2008,37,26-07-1983,1,6,80,1,1,0,1,Krishna,0,11,28,1,4,Sivagangai,1,3,0,1,1
F.Puja,24-01-2007,34,29-10-1986,1,4.8,50,0,1,1,1,Surapeta,0,44,9,1,4,Madurai,0,8,0,1,2
M.Likitha,31-12-2001,52,07-11-1968,1,5.9,60,0,0,0,0,West Godavari District,0,22,5,0,5,Namakkal,1,6,0,0,0
H.Arjun,15-09-2005,31,04-11-1989,0,5.9,70,0,1,0,1,Khammam,0,21,18,0,5,Nagapattnam,1,2,0,0,0
J.Rahul,07-12-2015,21,25-05-1999,0,4.7,71,0,1,1,1,Mehboobnagar,0,21,16,0,1,Thanjavur,0,13,0,0,0
F.Vineeth,11-09-1998,64,05-03-1956,0,4.6,72,0,0,1,0,Medak,0,21,17,0,1,Kumbakonam,1,4,0,0,0
S.Rajesh,11-09-1998,43,19-08-1977,0,5.8,79,1,1,1,1,Suryapeta,2,31,13,0,1,Thiruvarur,0,33,3,0,0
k.Kumar,29-10-1998,49,27-06-1971,0,5.4,60,0,0,1,0,Vikarabad,2,33,22,1,1,Velankanni,1,22,3,0,1
L.Kunal,12-12-2008,47,19-06-1973,0,5.2,54,1,1,0,1,Araria,2,34,3,1,1,Rameshwaram,1,21,3,1,1
D.Kaushik,24-01-2007,25,16-09-1995,0,5.1,59,0,0,0,0,Banka,2,53,2,1,2,Kodaikanal,1,22,3,0,1
A.Ajeetha,31-12-2001,21,21-10-1999,1,4.8,67,1,1,0,1,Arwal,2,32,6,0,2,Kumbakonam,1,3,3,1,1
A.Uma,15-09-2005,35,30-12-1985,0,5.3,52,0,0,1,0,Buxar,2,22,9,0,2,Thiruvarur,0,8,3,0,1
K.Aravindh,26/10/0214,36,15-09-1984,0,5.2,66,1,1,1,1,Khammam,3,23,2,0,2,Thirunelveli,0,8,3,1,1
G.Praveena,29-10-1998,45,20-03-1975,1,5.3,75,1,0,1,0,Gaya,2,32,22,1,2,Velankanni,1,5,3,0,1
S.Rathna,12-12-2008,64,25-06-1956,1,4.9,78,1,1,0,1,Kaimur,3,21,22,1,2,Vellore,0,43,3,1,1
T.Snehal,24-01-2007,37,05-08-1983,1,5.2,57,1,0,0,0,Chitoor,0,22,25,1,2,Thoothukudi,0,32,3,0,0
R.Lalitha,31-12-2001,51,08-11-1969,1,5.6,49,1,1,1,1,Guntur,3,24,28,1,5,Thiruvannamalai,0,12,2,1,0
K.Rashmi,15-09-2005,29,04-12-1991,1,5.8,67,1,0,0,0,Krishna,1,25,29,0,5,Pudukkottai,0,33,2,0,0
D.Latha,28-10-1997,30,19-08-1990,1,6,63,1,1,0,1,Nellore,1,25,33,1,0,Sivagangai,1,23,2,0,0
K.Kameshwari,19-09-2001,37,30-12-1983,1,4.8,71,1,0,0,0,Kurnool,1,28,32,0,0,Chennai,0,44,2,0,0
J.Shilpa,14-03-2003,40,28-09-1980,1,5.2,81,1,0,0,0,Chitoor,1,29,31,1,0,Tirupur,0,-5,2,0,0
T.Supriya,03-03-2005,50,09-12-1970,1,5.3,58,0,0,1,0,Guntur,1,30,22,1,1,Coimbatore,0,23,2,1,0
H.Teja,28-10-1997,26,03-09-1994,1,4.9,48,1,1,1,1,Krishna,1,22,28,1,1,Salem,0,24,1,1,2
D.sailaja,19-09-2001,30,20-12-1990,1,5.2,50,1,1,0,1,Nellore,2,21,38,1,1,Eroad,0,24,1,1,2
s.Nisha,26/10/0214,62,15-09-1958,1,5.6,50,1,1,0,1,Kurnool,3,34,29,0,0,Thiruvarur,0,24,1,0,1
K.Nandhini,29-10-1998,43,20-07-1977,1,5.8,60,0,1,1,1,Prakasam,0,7,27,0,1,Thirunelveli,0,24,1,0,2
T.Neethu,10-08-2017,29,30-04-1991,1,6,77,0,0,0,0,Kadapa,0,32,22,1,3,Velankanni,1,28,0,0,2
S.Sudeer,25-05-2016,45,27-10-1975,0,5.8,50,1,0,1,0,Srikakulam,0,22,21,1,3,Vellore,0,45,0,0,2
A.Rama Roa,19-02-2000,46,09-10-1974,0,5,66,1,0,0,0,Vizianagaram,3,4,29,1,3,Tirupur,0,55,0,0,2
T.Praveen,20-09-2001,28,15-09-1992,0,5.4,58,1,0,0,0,Kurnool,1,43,1,1,3,Coimbatore,0,5,2,0,2
A.Manjuri,07-12-2015,59,19-11-1961,1,6,73,0,1,1,1,Prakasam,0,20,0,1,3,Salem,0,45,2,1,2
L.Pradeep,11-09-1998,27,29-10-1993,0,4.8,56,0,1,0,1,Kadapa,3,44,6,1,3,Eroad,0,22,2,0,2
D.Parvathi,03-03-2005,25,02-11-1995,1,5.8,67,1,1,1,1,Srikakulam,1,44,5,0,3,Pudukkottai,0,23,2,1,2
T.Sandhya,28-10-1997,21,06-12-1999,1,5.6,50,0,0,0,0,Guntur,0,32,20,1,3,Sivagangai,1,21,2,0,2
